Country,Regimetype,Electoralprocessandpluralism,Functioningofgovernment,Politicalparticipation,Politicalculture,Civilliberties,Overallscore
Senegal,Hybrid regime,6.08,5.71,4.44,6.25,5.88,5.67
Hong Kong,Hybrid regime,3.17,3.64,5.0,7.5,8.53,5.57
Honduras,Hybrid regime,7.83,4.29,4.44,4.38,5.88,5.36
Armenia,Hybrid regime,7.5,5.0,6.11,3.13,5.0,5.35
Liberia,Hybrid regime,7.42,2.71,5.56,5.63,5.29,5.32
Georgia,Hybrid regime,7.83,3.57,6.11,3.75,5.29,5.31
Nepal,Hybrid regime,4.83,5.36,5.0,5.63,5.29,5.22
Tanzania,Hybrid regime,4.83,5.0,5.0,6.25,4.41,5.1
Bolivia,Hybrid regime,6.08,3.57,6.11,3.75,5.88,5.08
Kenya,Hybrid regime,3.5,5.36,6.67,5.63,4.12,5.05
Morocco,Hybrid regime,5.25,4.64,5.56,5.63,4.12,5.04
Guatemala,Hybrid regime,6.92,3.93,5.0,3.13,5.88,4.97
Uganda,Hybrid regime,4.33,3.21,5.0,6.88,5.29,4.94
Zambia,Hybrid regime,4.75,2.93,3.89,6.88,5.88,4.86
Sierra Leone,Hybrid regime,6.58,2.86,3.33,6.25,5.29,4.86
Bosnia and Herzegovina,Hybrid regime,7.0,2.93,5.56,3.13,5.59,4.84
Benin,Hybrid regime,3.33,5.36,3.89,5.63,4.71,4.58
Gambia,Hybrid regime,4.0,4.29,4.44,5.63,4.12,4.49
Turkey,Hybrid regime,3.5,5.36,5.56,5.63,2.35,4.48
Pakistan,Hybrid regime,5.67,5.36,3.33,2.5,4.71,4.31
Haiti,Hybrid regime,4.75,1.71,2.78,6.25,5.59,4.22
Kyrgyzstan,Hybrid regime,4.75,2.93,5.56,3.13,4.71,4.21
Lebanon,Hybrid regime,3.5,1.5,6.67,5.0,4.12,4.16
Ivory Coast,Hybrid regime,4.33,2.86,3.89,5.63,3.82,4.11
Nigeria,Hybrid regime,5.17,3.57,3.89,3.75,4.12,4.1
Mali,Authoritarian,5.17,0.0,4.44,5.63,4.41,3.93
Mauritania,Authoritarian,3.5,3.57,5.0,3.13,4.41,3.92
Palestine,Authoritarian,3.33,0.14,7.78,4.38,3.53,3.83
Kuwait,Authoritarian,3.58,3.93,3.89,4.38,3.24,3.8
Algeria,Authoritarian,3.08,2.5,4.44,5.0,3.82,3.77
Burkina Faso,Authoritarian,3.0,2.36,4.44,5.0,3.82,3.73
Angola,Authoritarian,2.25,2.86,5.56,5.0,2.65,3.66
Iraq,Authoritarian,5.25,0.0,6.67,5.0,1.18,3.62
Jordan,Authoritarian,2.67,3.93,3.89,4.38,3.24,3.62
Nicaragua,Authoritarian,0.42,2.86,5.0,5.63,4.12,3.6
Gabon,Authoritarian,2.58,1.86,4.44,5.0,3.82,3.54
Mozambique,Authoritarian,2.58,1.43,5.0,5.0,3.53,3.51
Ethiopia,Authoritarian,0.42,3.57,5.56,5.0,2.35,3.38
Russia,Authoritarian,2.17,2.14,5.0,3.13,4.12,3.31
Niger,Authoritarian,2.92,1.14,3.33,4.38,4.71,3.29
Qatar,Authoritarian,0.0,4.29,2.78,5.63,3.53,3.24
Zimbabwe,Authoritarian,0.0,2.5,4.44,5.63,3.24,3.16
Kazakhstan,Authoritarian,0.5,3.21,5.0,3.75,3.24,3.14
Republic of the Congo,Authoritarian,2.17,2.5,3.89,3.75,3.24,3.11
Cambodia,Authoritarian,0.0,3.93,3.89,5.63,2.06,3.1
Rwanda,Authoritarian,1.42,4.29,2.78,4.38,2.65,3.1
Comoros,Authoritarian,2.08,2.21,3.89,3.75,3.53,3.09
Eswatini,Authoritarian,0.92,2.86,2.78,5.63,3.24,3.08
Guinea,Authoritarian,3.5,0.43,4.44,4.38,2.65,3.08
Myanmar,Authoritarian,1.75,3.93,2.78,4.38,2.35,3.04
Oman,Authoritarian,0.08,3.93,2.78,4.38,3.82,3.0
Vietnam,Authoritarian,0.0,2.86,3.89,5.63,2.35,2.94
Egypt,Authoritarian,1.33,3.21,3.33,5.0,1.76,2.93
Afghanistan,Authoritarian,3.42,0.64,3.89,2.5,3.82,2.85
Cuba,Authoritarian,0.0,3.57,3.33,4.38,2.94,2.84
Togo,Authoritarian,3.17,1.79,3.33,5.0,3.24,2.8
Cameroon,Authoritarian,1.67,2.14,3.33,4.38,2.35,2.77
Venezuela,Authoritarian,0.0,1.79,5.0,4.38,2.65,2.76
Djibouti,Authoritarian,0.42,1.29,3.89,5.63,2.35,2.71
United Arab Emirates,Authoritarian,0.0,3.93,2.22,5.0,2.65,2.7
Azerbaijan,Authoritarian,0.5,2.86,3.33,3.75,2.94,2.68
Guinea-Bissau,Authoritarian,4.92,0.0,2.78,3.13,2.35,2.63
Belarus,Authoritarian,0.0,2.0,3.89,5.0,2.06,2.59
Sudan,Authoritarian,0.0,1.79,4.44,5.0,1.47,2.54
Bahrain,Authoritarian,0.83,2.71,2.78,4.38,1.76,2.49
China,Authoritarian,0.0,4.29,2.78,3.13,1.18,2.27
Iran,Authoritarian,0.0,2.5,3.89,3.13,1.47,2.2
Eritrea,Authoritarian,0.0,2.14,0.56,6.88,1.18,2.15
Burundi,Authoritarian,0.0,0.0,3.33,5.0,2.35,2.14
Uzbekistan,Authoritarian,0.08,1.86,2.78,5.0,0.88,2.12
Saudi Arabia,Authoritarian,0.0,3.57,2.22,3.13,1.47,2.08
Libya,Authoritarian,0.0,0.0,3.33,3.75,2.65,1.95
Yemen,Authoritarian,0.0,0.0,3.89,5.0,0.88,1.95
Tajikistan,Authoritarian,0.0,2.21,2.22,4.38,0.88,1.94
Equatorial Guinea,Authoritarian,0.0,0.43,3.33,4.38,1.47,1.92
Laos,Authoritarian,0.0,2.86,1.67,3.75,0.59,1.77
Turkmenistan,Authoritarian,0.0,0.79,2.22,5.0,0.59,1.72
Chad,Authoritarian,0.0,0.0,1.67,3.75,2.35,1.55
Syria,Authoritarian,0.0,0.0,2.78,4.38,0.0,1.43
Central African Republic,Authoritarian,1.25,0.0,1.11,1.88,2.35,1.32
Democratic Republic of the Congo,Authoritarian,0.0,0.0,1.67,3.13,0.88,1.13
North Korea,Authoritarian,0.0,2.5,1.67,1.25,0.0,1.08
